step,mode,qid,expected_tier,predicted_tier,role,provider,model,tokens_in,tokens_out,reasoning_tokens,cached_tokens,cost_usd,latency_s,cached_call,score
2,demo,S1,simple,simple,intent,ollama,gemma4:12b,222,2,0,0,0.0,20.119,True,
2,demo,S1,simple,,simple,ollama,gemma4:12b,130,202,0,0,0.0,57.038,True,
2,demo,H1,hard,hard,intent,ollama,gemma4:12b,209,2,0,0,0.0,18.692,True,
2,demo,H1,hard,,hard,openai,gpt-5,98,1996,1856,0,0.0200825,41.22,True,
3,B,S1,simple,simple,intent,ollama,gemma4:12b,222,2,0,0,0.0,20.119,True,
3,B,S2,simple,simple,intent,ollama,gemma4:12b,196,2,0,0,0.0,17.241,True,
3,B,S3,simple,simple,intent,ollama,gemma4:12b,200,2,0,0,0.0,16.714,True,
3,B,S4,simple,simple,intent,ollama,gemma4:12b,197,2,0,0,0.0,16.512,True,
3,B,S5,simple,simple,intent,ollama,gemma4:12b,193,2,0,0,0.0,16.838,True,
3,B,S6,simple,simple,intent,ollama,gemma4:12b,218,2,0,0,0.0,19.738,True,
3,B,S7,simple,simple,intent,ollama,gemma4:12b,195,2,0,0,0.0,16.457,True,
3,B,S8,simple,simple,intent,ollama,gemma4:12b,206,2,0,0,0.0,17.814,True,
3,B,M1,medium,medium,intent,ollama,gemma4:12b,203,2,0,0,0.0,17.347,True,
3,B,M2,medium,medium,intent,ollama,gemma4:12b,206,2,0,0,0.0,17.304,True,
3,B,M3,medium,hard,intent,ollama,gemma4:12b,205,2,0,0,0.0,18.653,True,
3,B,M4,medium,medium,intent,ollama,gemma4:12b,202,2,0,0,0.0,16.828,True,
3,B,M5,medium,medium,intent,ollama,gemma4:12b,200,2,0,0,0.0,17.749,True,
3,B,M6,medium,medium,intent,ollama,gemma4:12b,200,2,0,0,0.0,19.117,True,
3,B,M7,medium,medium,intent,ollama,gemma4:12b,204,2,0,0,0.0,18.697,True,
3,B,M8,medium,medium,intent,ollama,gemma4:12b,203,2,0,0,0.0,19.323,True,
3,B,H1,hard,hard,intent,ollama,gemma4:12b,209,2,0,0,0.0,18.692,True,
3,B,H2,hard,hard,intent,ollama,gemma4:12b,225,2,0,0,0.0,18.643,True,
3,B,H3,hard,hard,intent,ollama,gemma4:12b,217,2,0,0,0.0,18.851,True,
3,B,H4,hard,hard,intent,ollama,gemma4:12b,221,2,0,0,0.0,17.951,True,
3,B,H5,hard,hard,intent,ollama,gemma4:12b,221,2,0,0,0.0,18.019,True,
3,B,H6,hard,hard,intent,ollama,gemma4:12b,239,2,0,0,0.0,19.032,True,
3,B,H7,hard,hard,intent,ollama,gemma4:12b,219,2,0,0,0.0,17.613,True,
3,B,H8,hard,hard,intent,ollama,gemma4:12b,223,2,0,0,0.0,19.392,True,
4,A,S1,simple,,hard,openai,gpt-5,105,2804,2624,0,0.02817125,36.134,True,
4,A,S2,simple,,hard,openai,gpt-5,85,295,256,0,0.00305625,2.923,True,
4,A,S3,simple,,hard,openai,gpt-5,89,1837,1728,0,0.01848125,16.935,True,
4,A,S4,simple,,hard,openai,gpt-5,86,2651,2560,0,0.0266175,24.623,True,
4,A,S5,simple,,hard,openai,gpt-5,82,1972,1728,0,0.0198225,34.308,True,
4,A,S6,simple,,hard,openai,gpt-5,102,1553,1472,0,0.0156575,21.013,True,
4,A,S7,simple,,hard,openai,gpt-5,85,3308,2816,0,0.03318625,30.602,True,
4,A,S8,simple,,hard,openai,gpt-5,95,504,448,0,0.00515875,4.944,True,
4,A,M1,medium,,hard,openai,gpt-5,91,4035,3456,0,0.04046375,31.135,True,
4,A,M2,medium,,hard,openai,gpt-5,95,2449,2304,0,0.02460875,43.754,True,
4,A,M3,medium,,hard,openai,gpt-5,94,3784,3392,0,0.0379575,35.668,True,
4,A,M4,medium,,hard,openai,gpt-5,90,3947,3328,0,0.0395825,33.186,True,
4,A,M5,medium,,hard,openai,gpt-5,90,4762,4288,0,0.0477325,63.308,True,
4,A,M6,medium,,hard,openai,gpt-5,89,2320,1984,0,0.02331125,21.79,True,
4,A,M7,medium,,hard,openai,gpt-5,93,4121,3328,0,0.04132625,42.373,True,
4,A,M8,medium,,hard,openai,gpt-5,92,2168,1984,0,0.021795,41.099,True,
4,A,H1,hard,,hard,openai,gpt-5,98,2338,2176,0,0.0235025,35.164,True,
4,A,H2,hard,,hard,openai,gpt-5,108,5534,4608,0,0.055475,53.156,True,
4,A,H3,hard,,hard,openai,gpt-5,102,5906,5440,0,0.0591875,86.683,True,
4,A,H4,hard,,hard,openai,gpt-5,102,6139,5120,0,0.0615175,108.109,True,
4,A,H5,hard,,hard,openai,gpt-5,109,2145,2048,0,0.02158625,26.991,True,
4,A,H6,hard,,hard,openai,gpt-5,123,4040,3136,0,0.04055375,77.196,True,
4,A,H7,hard,,hard,openai,gpt-5,109,2490,2176,0,0.02503625,28.122,True,
4,A,H8,hard,,hard,openai,gpt-5,112,5132,3840,0,0.05146,92.213,True,
5,B,S1,simple,simple,intent,ollama,gemma4:12b,222,2,0,0,0.0,20.119,True,
5,B,S1,simple,simple,simple,ollama,gemma4:12b,130,119,0,0,0.0,52.119,True,
5,B,S2,simple,simple,intent,ollama,gemma4:12b,196,2,0,0,0.0,17.241,True,
5,B,S2,simple,simple,simple,ollama,gemma4:12b,104,60,0,0,0.0,20.915,True,
5,B,S3,simple,simple,intent,ollama,gemma4:12b,200,2,0,0,0.0,16.714,True,
5,B,S3,simple,simple,simple,ollama,gemma4:12b,108,112,0,0,0.0,32.764,True,
5,B,S4,simple,simple,intent,ollama,gemma4:12b,197,2,0,0,0.0,16.512,True,
5,B,S4,simple,simple,simple,ollama,gemma4:12b,105,113,0,0,0.0,33.135,True,
5,B,S5,simple,simple,intent,ollama,gemma4:12b,193,2,0,0,0.0,16.838,True,
5,B,S5,simple,simple,simple,ollama,gemma4:12b,101,344,0,0,0.0,88.409,True,
5,B,S6,simple,simple,intent,ollama,gemma4:12b,218,2,0,0,0.0,19.738,True,
5,B,S6,simple,simple,simple,ollama,gemma4:12b,126,268,0,0,0.0,70.513,True,
